segment_id,start_time,end_time,rms_energy,zero_crossing_rate,spectral_centroid,spectral_bandwidth,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13
1,0.0,0.5599999999999999,0.08497771,0.08197128563596491,3034.577457633311,3370.294217938639,-205.44206,135.15302,-50.02249,-3.028447,-22.29911,10.641272,-15.492217,30.791122,-13.324495,11.6360855,4.402741,5.529022,3.4071553
12,1.19,1.75,0.059070956,0.08270799067982457,3266.988942853071,3639.955594252444,-195.54614,140.6254,-52.389793,14.866689,-30.693958,16.156395,-19.492897,37.397297,-17.179407,17.180262,-4.371396,4.7716527,6.5157714
23,2.38,3.01,0.07747179,0.08404637896825397,3159.9853965934403,3418.0716334311487,-173.85376,138.96892,-56.827652,9.23721,-27.90088,9.88055,-14.048525,32.11908,-15.893669,14.493122,-5.2809234,5.9420323,7.080581
32,3.5,4.13,0.09166561,0.08328683035714286,3059.0955533624174,3289.18000565469,-176.75394,141.82991,-63.522297,-1.9934342,-24.438555,19.705585,-16.211468,27.394375,-13.754643,11.413607,-4.0083733,7.7918916,6.374869
39,4.4799999999999995,4.97,0.07416988,0.08797679227941177,3094.089780421131,3292.321376115356,-176.64958,146.62291,-65.7616,11.472005,-25.507496,20.992031,-21.441442,33.50719,-19.300776,14.895081,-3.593626,10.043273,3.0414214
40,4.8999999999999995,5.669999999999999,0.07269558,0.0890234375,3055.415975006098,3294.9118315348787,-178.3903,145.37842,-64.57774,3.8983524,-21.966402,27.200247,-17.413979,29.845367,-24.768475,14.260145,1.4739531,7.130778,3.209038
44,5.8100000000000005,6.369999999999999,0.06071946,0.07852761787280702,3154.781215892923,3544.016244904626,-190.73325,142.41277,-52.895958,15.96158,-25.119484,18.123623,-22.939575,33.747406,-18.19854,16.872374,1.6630101,10.966149,1.5160941
47,6.44,7.0,0.066528775,0.07822779605263158,3071.230657697376,3507.678512100961,-184.85016,144.50659,-49.90988,3.4084537,-20.830305,14.415761,-21.63672,39.637688,-11.330668,9.666095,-3.5029166,5.196571,4.3184037
48,6.93,7.49,0.06292769,0.0820055509868421,3091.5611779449937,3499.5822205309387,-187.51257,147.75545,-56.62053,12.286772,-29.46592,17.436283,-23.594723,40.62337,-13.84162,17.77656,-10.622388,5.3185377,3.9458733
49,7.420000000000001,9.870000000000001,0.0838131,0.07456720525568182,2867.4047539860435,3220.0889884141793,-170.8461,145.73131,-59.631798,-0.32128125,-27.1043,10.356333,-19.519133,36.01511,-6.5583687,13.410746,-8.590194,-0.078611046,5.1395354
50,9.799999999999999,10.92,0.07776118,0.07822173496462265,2961.3610674245388,3326.2352118287786,-174.04543,143.40701,-54.927544,-1.4831766,-28.722393,8.726445,-19.047028,33.241997,-9.224445,11.783171,-7.7782574,0.7429283,4.3210607
52,10.92,11.620000000000001,0.07410817,0.08166326992753623,3034.835930667454,3330.437295559745,-173.3037,146.78542,-60.7469,5.9433827,-33.411095,13.265189,-21.886246,32.61821,-14.425922,15.24808,-8.765686,0.33234814,6.696145
53,11.549999999999999,13.299999999999999,0.08735452,0.07667236328125,2906.451361774104,3229.8145117823906,-165.52542,145.26791,-59.12545,1.8598658,-31.05333,9.3275585,-18.92728,30.742844,-9.577459,13.767856,-7.9783125,2.4542406,7.3166733
55,13.299999999999999,13.930000000000001,0.079242826,0.07829551091269842,3041.6549260239117,3344.638493472765,-174.32484,145.9347,-63.03531,9.148035,-36.477486,13.896128,-21.734688,32.33073,-16.593374,14.442076,-5.522515,6.4348536,4.935025
57,14.0,14.63,0.0847764,0.0835968501984127,3064.8489578790586,3339.3679986073744,-171.15277,141.12457,-56.029026,6.217909,-32.553036,8.150826,-16.963331,30.261923,-13.690265,12.073022,-4.7673163,3.7776086,5.33876
59,14.63,15.540000000000001,0.07076841,0.08214349856321838,3068.368135998504,3412.1371723075167,-178.395,144.35336,-53.559155,12.798325,-32.63061,10.35302,-18.809921,31.903542,-18.443165,14.541869,-0.5655676,6.0143666,4.796874
60,15.47,21.419999999999998,0.082852885,0.07016564146312261,2798.04496591165,3302.975680297174,-162.0343,151.9993,-46.434124,7.6236506,-30.64117,11.181184,-17.566597,29.908873,-13.580593,13.390041,-0.9980296,1.6045997,3.7174602
